Nama Tanaman,Jenis Pupuk,Dosis (kg/ha),Waktu Pemupukan,Cara Pemupukan,Manfaat
Padi,Urea,200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,"Meningkatkan pertumbuhan daun dan batang, memperbaiki hasil panen."
Jagung,NPK (15-15-15),300,"Sebelum tanam, 3-4 minggu setelah tanam",Sebar merata di tanah,"Meningkatkan kesuburan tanah, mendukung perkembangan tanaman."
Kedelai,Urea,100,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan kadar nitrogen untuk pembentukan biji.
Tomat,NPK (16-16-16),250,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Memperbaiki kualitas dan kuantitas buah tomat.
Cabai,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mendukung perkembangan tanaman dan produksi cabai.
Kacang Panjang,Urea,150,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan produksi kacang panjang dan kualitas biji kacang panjang.
Bayam,NPK (15-15-15),200,"Sebelum tanam, 2 minggu setelah tanam",Sebar merata di tanah,Mempercepat pertumbuhan daun bayam hijau yang segar dan lebat.
Sawi,Urea,100,"Sebelum tanam, 2 minggu setelah tanam",Sebar merata di tanah,"Menambah kesuburan tanah, mempercepat pertumbuhan daun sawi."
Bawang Merah,NPK (16-16-16),250,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan ukuran umbi bawang merah dan meningkatkan hasil panen.
Kembang Kol,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mendukung pembentukan kembang kol yang besar dan padat.
Ubi Jalar,NPK (15-15-15),200,"Sebelum tanam, 3-4 minggu setelah tanam",Sebar merata di tanah,Meningkatkan produksi umbi yang besar dan manis.
Singkong,Urea,150,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mempercepat pertumbuhan dan meningkatkan hasil umbi.
Pepaya,NPK (16-16-16),300,"Sebelum tanam, 2-3 bulan setelah tanam",Sebar merata di tanah,mempercepat pertumbuhan batang dan buah pepaya yang kaya vitamin.
Jeruk,NPK (15-15-15),400,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Mempercepat pertumbuhan buah jeruk yang manis dan mengandung vitamin C. 
Mangga,NPK (15-15-15),300,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Mempercepat pertumbuhan buah mangga dan memperbaiki kualitas produksi.
Kacang Hijau,Urea,100,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Menambah nitrogen tanah untuk meningkatkan hasil biji kacang hijau. 
Lobak,NPK (15-15-15),200,"Sebelum tanam, 2 minggu setelah tanam",Sebar merata di tanah,Mempercepat pembentukan akar yang besar dan manis.
Kembang Turi,NPK (16-16-16),250,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mendukung pertumbuhan daun dan bunga yang subur.
Terong,NPK (15-15-15),250,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan produksi terong yang besar dan berwarna cerah.
Kacang Tanah,Urea,150,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Memperbaiki hasil panen dan kualitas biji kacang tanah.
Nangka,NPK (15-15-15),400,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Mendukung pertumbuhan buah yang besar dan manis.
Durian,NPK (15-15-15),300,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Memperbaiki kualitas daging buah durian yang tebal dan manis.
Selada,NPK (15-15-15),200,"Sebelum tanam, 2 minggu setelah tanam",Sebar merata di tanah,Menambah kesegaran daun dan mempercepat pertumbuhan.
Kacang Buncis,Urea,150,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan jumlah dan kualitas kacang buncis.
Timun,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mempercepat pembentukan buah timun yang segar.
Paprika,NPK (16-16-16),250,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan produksi buah berwarna cerah dan besar.
Bawang Putih,NPK (16-16-16),250,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan ukuran umbi.
Pare,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mempercepat pertumbuhan buah pare yang panjang dan sehat.
Kacang Polong,Urea,100,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan hasil panen biji yang kaya protein.
Wortel,NPK (15-15-15),200,"Sebelum tanam, 2 minggu setelah tanam",Sebar merata di tanah,Meningkatkan kualitas wortel yang kaya vitamin.
Bunga Matahari,NPK (16-16-16),250,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mendukung pertumbuhan batang yang kuat dan bunga besar.
Sereh,Urea,150,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mempercepat pertumbuhan batang yang wangi.
Jahe,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan ukuran rimpang dan aroma khas.
Kunyit,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Memperbaiki produksi rimpang yang kaya kurkumin.
Cengkeh,NPK (15-15-15),300,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Mendukung pertumbuhan daun dan bunga yang berkualitas.
Pisang,NPK (15-15-15),400,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Meningkatkan ukuran tandan dan kualitas buah pisang.
Kelapa,NPK (15-15-15),300,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Mendukung pembentukan buah yang besar dan kaya minyak.
Anggur,NPK (16-16-16),250,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Meningkatkan kualitas buah anggur yang manis.
Melon,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mempercepat pertumbuhan buah melon yang manis.
Semangka,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mendukung pertumbuhan buah semangka yang besar.
Bawang Daun,NPK (16-16-16),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan kesegaran daun dan mempercepat pertumbuhan.
Brokoli,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mendukung pembentukan kepala bunga yang padat dan hijau.